id,pageURL,previewURL,views,downloads,likes,tags,has_aurora_tag,num_tag_words,url_length
225514,https://pixabay.com/photos/northern-lights-aurora-borealis-225514/,https://cdn.pixabay.com/photo/2013/12/09/08/38/northern-lights-225514_150.jpg,6024,4046,13,"northern lights, aurora borealis, solar wind",yes,7,66
589052,https://pixabay.com/photos/aurora-northern-lights-589052/,https://cdn.pixabay.com/photo/2015/01/05/09/18/aurora-589052_150.jpg,11567,8792,31,"aurora, northern lights, aurora borealis",yes,6,57
188767,https://pixabay.com/photos/northern-lights-aurora-borealis-188767/,https://cdn.pixabay.com/photo/2013/09/30/21/43/northern-188767_150.jpg,12905,8879,23,"northern, lights, aurora borealis",yes,5,66
443978,https://pixabay.com/photos/aurora-borealis-northern-sky-lights-443978/,https://cdn.pixabay.com/photo/2014/09/13/12/34/aurora-borealis-443978_150.jpg,6377,4304,11,"aurora borealis, northern, sky",yes,5,70
2387773,https://pixabay.com/photos/northern-light-norway-arctic-2387773/,https://cdn.pixabay.com/photo/2017/06/09/17/47/northern-light-2387773_150.jpg,7732,3551,32,"northern light, norway, arctic",no,5,64
953165,https://pixabay.com/photos/aurora-borealis-aurora-northern-953165/,https://cdn.pixabay.com/photo/2015/09/23/09/01/aurora-borealis-953165_150.jpg,10682,9350,17,"aurora borealis, aurora, northern",yes,5,66
1268246,https://pixabay.com/photos/lantern-frozen-lantern-winter-1268246/,https://cdn.pixabay.com/photo/2016/03/20/09/56/lantern-1268246_150.jpg,5094,2792,19,"lantern, frozen lantern, winter",no,5,65
1642441,https://pixabay.com/photos/mackinac-bridge-northern-lights-1642441/,https://cdn.pixabay.com/photo/2016/09/03/18/35/mackinac-bridge-1642441_150.jpg,4686,2613,14,"mackinac bridge, northern lights, michigan",no,6,67
2387765,https://pixabay.com/photos/northern-light-norway-arctic-2387765/,https://cdn.pixabay.com/photo/2017/06/09/17/46/northern-light-2387765_150.jpg,4061,2284,20,"northern light, norway, arctic",no,5,64
2399083,https://pixabay.com/photos/boat-water-sunset-northern-norway-2399083/,https://cdn.pixabay.com/photo/2017/06/13/14/44/boat-2399083_150.jpg,5142,2840,30,"boat, water, sunset",no,4,69
1642443,https://pixabay.com/photos/mackinac-bridge-northern-lights-1642443/,https://cdn.pixabay.com/photo/2016/09/03/18/35/mackinac-bridge-1642443_150.jpg,3689,2302,11,"mackinac bridge, northern lights, michigan",no,6,67
1651554,https://pixabay.com/photos/dulles-airport-building-1651554/,https://cdn.pixabay.com/photo/2016/09/07/12/55/dulles-1651554_150.jpg,20475,15593,30,"dulles, airport, building",no,4,59
598536,https://pixabay.com/photos/beach-changing-room-sea-dare-598536/,https://cdn.pixabay.com/photo/2015/01/13/21/44/beach-598536_150.jpg,7379,3467,17,"beach, changing room, sea",no,5,63
1800916,https://pixabay.com/photos/startrails-long-exposure-stars-1800916/,https://cdn.pixabay.com/photo/2016/11/05/18/40/startrails-1800916_150.jpg,16442,12621,26,"startrails, long exposure, stars",no,5,66
2387782,https://pixabay.com/photos/northern-light-norway-arctic-2387782/,https://cdn.pixabay.com/photo/2017/06/09/17/47/northern-light-2387782_150.jpg,3601,1623,18,"northern light, norway, arctic",no,5,64
225440,https://pixabay.com/photos/northern-lights-sweden-lapland-225440/,https://cdn.pixabay.com/photo/2013/12/09/03/50/northern-lights-225440_150.jpg,3994,2526,7,"northern lights, sweden, lapland",no,5,65
2137966,https://pixabay.com/photos/antenna-auroraboralis-night-2137966/,https://cdn.pixabay.com/photo/2017/03/12/19/59/antenna-2137966_150.jpg,2162,1307,7,"antenna, auroraboralis, night",yes,4,63
925848,https://pixabay.com/photos/northern-lights-trees-night-sky-925848/,https://cdn.pixabay.com/photo/2015/09/05/22/39/northern-lights-925848_150.jpg,1584,842,7,"northern lights, nature, trees",no,5,66
1642446,https://pixabay.com/photos/mackinac-bridge-northern-lights-1642446/,https://cdn.pixabay.com/photo/2016/09/03/18/36/mackinac-bridge-1642446_150.jpg,2897,1861,7,"mackinac bridge, northern lights, michigan",no,6,67
